timestamp,cam_x,cam_y,cam_theta_deg,gz_x,gz_y,gz_theta_deg,dx_error,dy_error,dxy_error,dtheta_error_deg
1786277007.6379664,-1.2019142272749931e-09,-2.827401613103575e-08,0.0,0.0,0.0,0.0,-1.2019142272749931e-09,-2.827401613103575e-08,2.8299550985621587e-08,0.0
1786277008.6376727,-1.2487974063530956e-09,-2.9376903285083243e-08,0.0,0.0,0.0,0.0,-1.2487974063530956e-09,-2.9376903285083243e-08,2.940343418009619e-08,0.0
1786277009.6375372,-1.2956805854311981e-09,-3.047979043913074e-08,0.0,0.0,0.0,0.0,-1.2956805854311981e-09,-3.047979043913074e-08,3.050731737457079e-08,0.0
1786277010.6377654,-1.3425637645093008e-09,-3.158267759317823e-08,0.0,0.0,0.0,0.0,-1.3425637645093008e-09,-3.158267759317823e-08,3.161120056904539e-08,0.0
1786277011.6375444,-1.3894469435874033e-09,-3.2685564747225724e-08,0.0,0.0,0.0,0.0,-1.3894469435874033e-09,-3.2685564747225724e-08,3.2715083763519994e-08,0.0
1786277012.6385925,-0.0068400102354463374,-4.601435513456201e-05,0.0,-0.009740579618125356,3.566773543184457e-10,-6.502210630179682e-09,0.0029005693826790182,-4.6014711811916325e-05,0.002900934349039646,6.502210630179682e-09
1786277013.6414435,-0.028250317414772935,-1.4104160807560023e-05,0.0,-0.03150062029096801,3.2640956604271797e-10,-9.14621137231999e-09,0.0032503028761950714,-1.4104487217126066e-05,0.0032503334788236134,9.14621137231999e-09
1786277014.6385593,-0.047710282830395814,1.2781438090373938e-05,0.0,-0.050540640992737584,2.632631890265281e-10,-1.1346758620899768e-08,0.00283035816234177,1.2781174827184912e-05,0.002830387020455797,1.1346758620899768e-08
1786277015.6382782,-0.060547582218783744,7.936808932230554e-05,0.0,-0.06234108519601844,4.2160941404811096e-11,-1.136062347924938e-08,0.0017935029772346983,7.936804716136413e-05,0.0017952582589309915,1.136062347924938e-08
1786277016.638334,-0.047563131567531995,-1.6818505148381994e-05,0.0,-0.046904239965995354,3.3621816442069253e-10,-2.876334554006894e-09,-0.0006588916015366417,-1.6818841366546414e-05,0.0006591062251264463,2.876334554006894e-09
1786277017.6380203,0.025598184418767884,-0.00010040488875180248,0.02846480336086822,0.026535898399486335,3.320232977443713e-10,1.848911765242694e-10,-0.0009377139807184506,-0.00010040522077510023,0.0009430740787412935,0.028464803175977046
1786277018.6378107,0.05843327257162446,-0.0001438855705914372,0.06109507829535872,0.06325593065759394,-1.5250467555527815e-11,3.822417693219674e-09,-0.004822658085969482,-0.00014388555534096964,0.00482480404443565,0.06109507447294103
1786277019.637631,0.0936545041814594,-0.00014434688877574907,0.03281309255154742,0.09589596017954416,-3.4294256323629393e-10,3.6571074612646502e-09,-0.002241455998084757,-0.00014434654583318584,0.0022460990442641007,0.03281308889443996
1786277020.6386182,0.12882355402411466,-0.00015230280215369836,0.03281309255154742,0.13261603743250028,-3.5721647861933347e-10,2.5278226662634206e-09,-0.0037924834083856163,-0.00015230244493721974,0.0037955403353954805,0.03281309002372476
1786277021.638563,0.16108811385578858,-0.00012098659849192855,0.03281309255154742,0.1693360993687285,-2.761337825065281e-10,-1.946392699452652e-09,-0.008247985512939926,-0.00012098632235814605,0.00824887281462532,0.03281309449794012
1786277022.6376731,0.1932717799734579,-8.897281817485384e-05,0.009693087306512726,0.20197611340638222,2.534146226194165e-10,-3.89029126348708e-09,-0.008704333432924316,-8.897307158947646e-05,0.008704788149001219,0.00969309119680399
1786277023.63778,0.22845599016623708,-5.3375463063690755e-05,0.009693087306512726,0.23461616272769592,3.6004488279648057e-10,-3.971484976127502e-09,-0.006160172561458843,-5.337582310857355e-05,0.006160403798895242,0.009693091277997704
1786277024.6380126,0.26060455197953103,-5.229964367402678e-05,-0.01970041834322558,0.27133624182493765,3.4402836135398944e-10,-1.508786497409188e-09,-0.010731689845406622,-5.2299987702388135e-05,0.010731817284445225,-0.019700416834439082
1786277025.6376376,0.2956702571553205,-0.0001610703581855277,-0.01970041834322558,0.30397628365733165,2.2781865283118075e-10,2.0390833067368606e-09,-0.008306026502011121,-0.00016107058600418054,0.00830758809678157,-0.01970042038230889
1786277026.637676,0.32805456904398317,-0.00025139872077793615,-0.01970041834322558,0.34069630531382145,-3.2853320064454755e-10,2.7518733777931372e-09,-0.012641736269838277,-0.0002513983922447355,0.012644235724936791,-0.01970042109509896
1786277027.6374347,0.3637178043746141,-0.0004240736944421124,-0.01970041834322558,0.373336369223481,-3.6172753681324466e-10,2.598045710182673e-09,-0.009618564848866917,-0.0004240733327145756,0.00962790880427198,-0.019700420941271293
1786277028.6376736,0.3959340309855864,-0.00042589789816228094,-0.01970041834322558,0.4059764353726043,-3.2480151901424644e-10,-1.1562596898123673e-09,-0.010042404387017922,-0.0004258975733607619,0.010051431470959318,-0.01970041718696589
1786277029.6388218,0.43117769115840543,-0.0004738246905757459,-0.01970041834322558,0.44269646378101823,8.217071467650918e-11,-4.7694461164365076e-09,-0.011518772622612805,-0.0004738247727464606,0.011528513895846356,-0.019700413573779465
1786277030.6375434,0.46344832020245835,-0.0005040009970263808,-0.01970041834322558,0.47533649732345795,3.470206344497437e-10,-4.84101109000009e-09,-0.011888177120999599,-0.0005040013440470153,0.01189885593723445,-0.019700413502214492
1786277031.6374288,0.49567583938259463,-0.00042362047191321666,-0.01970041834322558,0.5079765668117235,3.5768454864583875e-10,-4.16074364654275e-09,-0.01230072742912891,-0.0004236208295977653,0.012308019738893557,-0.01970041418248194
1786277032.6380088,0.5278770752962053,-0.00042524504596512297,-0.01970041834322558,0.5406166259254788,2.9577496007902674e-10,-3.565450903723975e-10,-0.012739550629273455,-0.00042524534174008305,0.012746645983806615,-0.019700417986680492
1786277033.6378899,0.5602207426710377,-0.0004521131703431526,-0.01970041834322558,0.573256642889159,-1.8406787205609888e-10,1.9931147167458006e-09,-0.013035900218121288,-0.00045211298627528053,0.013043737986067238,-0.019700420336340296
1786277034.6379166,0.5924300441684924,-0.000547356612919595,-0.01970041834322558,0.6058966840779918,-3.598819020573534e-10,1.847661880118276e-09,-0.013466639909499367,-0.0005473562530376929,0.013477759061500566,-0.019700420190887462
